	Domain	"Phylum	"	"Class	"	"Order	"	Family 	"Genus	"	Species
OTU83	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU84	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU85	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Helotiaceae	g:Hymenoscyphus	UNKNOWN
OTU86	d:Fungi	p:Ascomycota	c:Sordariomycetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU87	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU88	d:Fungi	p:Ascomycota	c:Sordariomycetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU89	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	UNKNOWN	UNKNOWN	UNKNOWN
OTU90	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU91	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU92	d:Fungi	p:Ascomycota	c:Pezizomycetes	o:Pezizales	f:Pezizaceae	g:Peziza	s:Peziza_ostracoderma_SH193872.07FU
OTU93	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU94	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Curvularia	s:Curvularia_caricae-papayae_SH349835.07FU
OTU95	d:Fungi	p:Basidiomycota	c:Tremellomycetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU96	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU97	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU98	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Exserohilum	s:Exserohilum_turcicum_SH629213.07FU
OTU99	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Filobasidiales	f:Filobasidiaceae	g:Naganishia	s:Naganishia_randhawae_SH116217.07FU
OTU100	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Cyphellophoraceae	g:Cyphellophora	UNKNOWN
OTU101	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Stachybotryaceae	UNKNOWN	UNKNOWN
OTU102	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU103	d:Fungi	p:Ascomycota	c:Dothideomycetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU104	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU105	d:Fungi	p:Ascomycota	c:Pezizomycetes	o:Pezizales	UNKNOWN	UNKNOWN	UNKNOWN
OTU106	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Clavicipitaceae	UNKNOWN	UNKNOWN
OTU107	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Russulales	f:Stereaceae	g:Stereum	s:Stereum_sanguinolentum_SH196427.07FU
OTU108	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreaceae	g:Trichoderma	s:Trichoderma_longibrachiatum_SH206530.07FU
OTU109	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Boletales	UNKNOWN	UNKNOWN	UNKNOWN
OTU110	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Curvularia	UNKNOWN
OTU111	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Sordariaceae	UNKNOWN	UNKNOWN
OTU112	d:Fungi	p:Basidiomycota	c:Malasseziomycetes	o:Malasseziales	f:Malasseziaceae	g:Malassezia	UNKNOWN
OTU113	d:Fungi	p:Ascomycota	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU114	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	UNKNOWN	UNKNOWN	UNKNOWN
OTU115	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Myriangiales	f:Elsinoaceae	UNKNOWN	UNKNOWN
OTU116	d:Fungi	p:Ascomycota	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU117	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU118	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreaceae	UNKNOWN	UNKNOWN
OTU119	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU120	d:Fungi	p:Ascomycota	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU121	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Russulales	f:Russulaceae	g:Russula	s:Russula_recondita_SH202441.07FU
OTU122	d:Fungi	p:Ascomycota	c:Sordariomycetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU123	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU124	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	UNKNOWN	UNKNOWN	UNKNOWN
OTU125	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU126	d:Fungi	p:Ascomycota	c:Dothideomycetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU127	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU128	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Glomerellales	f:Glomerellaceae	g:Colletotrichum	UNKNOWN
OTU129	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU130	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	UNKNOWN	UNKNOWN	UNKNOWN
OTU131	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Onygenales	UNKNOWN	UNKNOWN	UNKNOWN
OTU132	d:Fungi	p:Mortierellomycota	c:Mortierellomycetes	o:Mortierellales	UNKNOWN	UNKNOWN	UNKNOWN
OTU133	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	UNKNOWN	UNKNOWN
OTU134	d:Fungi	p:Basidiomycota	c:Agaricomycetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU135	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Herpotrichiellaceae	g:Exophiala	UNKNOWN
OTU136	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU137	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	UNKNOWN	UNKNOWN	UNKNOWN
OTU138	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU139	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	UNKNOWN	UNKNOWN	UNKNOWN
OTU140	d:Fungi	p:Ascomycota	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
