	Domain	"Phylum	"	"Class	"	"Order	"	Family 	"Genus	"	Species
OTU11364	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	UNKNOWN	UNKNOWN	UNKNOWN
OTU11365	k:Bacteria	p:Armatimonadetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11366	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Oligoflexales	UNKNOWN	UNKNOWN	UNKNOWN
OTU11367	k:Bacteria	p:Elusimicrobia	c:Elusimicrobia	o:Lineage_IIb	UNKNOWN	UNKNOWN	UNKNOWN
OTU11368	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11369	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11370	k:Bacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11371	k:Bacteria	p:Saccharibacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11372	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Bdellovibrionales	f:Bdellovibrionaceae	g:OM27_clade	UNKNOWN
OTU11373	k:Bacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11374	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11375	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	UNKNOWN	UNKNOWN
OTU11376	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:DB1-14	UNKNOWN	UNKNOWN	UNKNOWN
OTU11377	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11378	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	UNKNOWN	UNKNOWN
OTU11379	k:Bacteria	p:TM6	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11380	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Corynebacteriales	f:Nocardiaceae	g:Rhodococcus	s:Rhodococcus_sp._A2-608
OTU11381	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	UNKNOWN	UNKNOWN	UNKNOWN
OTU11382	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Legionellales	f:Coxiellaceae	g:Coxiella	UNKNOWN
OTU11383	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:DB1-14	UNKNOWN	UNKNOWN	UNKNOWN
OTU11384	k:Bacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11385	k:Bacteria	p:Planctomycetes	c:Phycisphaerae	o:WD2101_soil_group	UNKNOWN	UNKNOWN	UNKNOWN
OTU11386	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	UNKNOWN	UNKNOWN
OTU11387	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Clostridiaceae_1	g:Clostridium_sensu_stricto_5	s:Clostridium_sp._C71
OTU11388	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Ruminococcaceae	g:Ruminococcaceae_UCG-013	UNKNOWN
OTU11389	k:Bacteria	p:Firmicutes	c:Erysipelotrichia	o:Erysipelotrichales	f:Erysipelotrichaceae	g:Faecalitalea	UNKNOWN
OTU11390	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Acetobacteraceae	UNKNOWN	UNKNOWN
OTU11391	k:Bacteria	p:Parcubacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11392	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Desulfobacterales	f:Desulfobulbaceae	g:Desulfocapsa	UNKNOWN
OTU11393	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:oca12	UNKNOWN	UNKNOWN	UNKNOWN
OTU11394	k:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Bacillaceae	g:Oceanobacillus	UNKNOWN
OTU11395	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	g:Aquimonas	UNKNOWN
OTU11396	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Legionellales	f:Legionellaceae	g:Legionella	UNKNOWN
OTU11397	k:Bacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11398	k:Bacteria	p:Chloroflexi	c:Anaerolineae	o:Anaerolineales	f:Anaerolineaceae	UNKNOWN	UNKNOWN
OTU11399	k:Bacteria	p:Proteobacteria	c:Epsilonproteobacteria	o:Campylobacterales	f:Helicobacteraceae	g:Sulfurimonas	UNKNOWN
OTU11400	k:Bacteria	p:Actinobacteria	c:TakashiAC-B11	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11401	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Chitinophagaceae	UNKNOWN	UNKNOWN
OTU11402	k:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Bacillaceae	g:Bacillus	s:Bacillus_sp._RM6
OTU11403	k:Bacteria	p:Proteobacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11404	k:Bacteria	p:Verrucomicrobia	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11405	k:Bacteria	p:Nitrospirae	c:Nitrospira	o:Nitrospirales	f:0319-6A21	UNKNOWN	UNKNOWN
OTU11406	k:Bacteria	p:Parcubacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11407	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Sphingobacteriaceae	g:Pedobacter	UNKNOWN
OTU11408	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cyclobacteriaceae	UNKNOWN	UNKNOWN
OTU11409	k:Bacteria	p:Cyanobacteria	c:Cyanobacteria	o:SubsectionIII	f:FamilyI	g:Leptolyngbya	UNKNOWN
OTU11410	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11411	k:Bacteria	p:Bacteroidetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11412	k:Bacteria	p:Bacteroidetes	c:Flavobacteriia	o:Flavobacteriales	f:Flavobacteriaceae	g:Tamlana	UNKNOWN
OTU11413	k:Bacteria	p:Planctomycetes	c:OM190	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11414	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rickettsiales	f:EF100-94H03	UNKNOWN	UNKNOWN
OTU11415	k:Bacteria	p:Actinobacteria	c:Acidimicrobiia	o:Acidimicrobiales	UNKNOWN	UNKNOWN	UNKNOWN
OTU11416	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	UNKNOWN	UNKNOWN
OTU11417	k:Bacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11418	k:Bacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11419	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Lachnospiraceae	g:Lachnoanaerobaculum	UNKNOWN
OTU11420	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:P3OB-42	UNKNOWN	UNKNOWN
OTU11421	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:Cystobacteraceae	g:Anaeromyxobacter	UNKNOWN
OTU11422	k:Bacteria	p:Actinobacteria	c:Coriobacteriia	o:Coriobacteriales	f:Coriobacteriaceae	g:Senegalimassilia	UNKNOWN
OTU11423	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:Haliangiaceae	g:Haliangium	UNKNOWN
OTU11424	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Methylobacterium	UNKNOWN
OTU11425	k:Bacteria	p:Spirochaetae	c:Spirochaetes	o:Spirochaetales	f:Spirochaetaceae	g:Treponema	UNKNOWN
OTU11426	k:Bacteria	p:Gracilibacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11427	k:Bacteria	p:Bacteroidetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11428	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Alteromonadales	f:Idiomarinaceae	g:Idiomarina	s:Idiomarina_sp._G2DM-8
OTU11429	k:Bacteria	p:Microgenomates	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11430	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:mle1-27	UNKNOWN	UNKNOWN
OTU11431	k:Bacteria	p:Proteobacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11432	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Ruminococcaceae	UNKNOWN	UNKNOWN
OTU11433	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Flammeovirgaceae	UNKNOWN	UNKNOWN
OTU11434	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	UNKNOWN	UNKNOWN
OTU11435	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Ruminococcaceae	g:Ruminococcaceae_UCG-013	UNKNOWN
OTU11436	k:Bacteria	p:TM6	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11437	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Desulfovibrionales	f:Desulfovibrionaceae	g:Desulfovibrio	UNKNOWN
OTU11438	k:Bacteria	p:Fibrobacteres	c:Fibrobacteria	o:Fibrobacterales	f:Fibrobacteraceae	g:Fibrobacter	UNKNOWN
OTU11439	k:Bacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11440	k:Bacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11441	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:env.OPS_17	UNKNOWN	UNKNOWN
OTU11442	k:Bacteria	p:Gracilibacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11443	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rickettsiales	f:Rickettsiales_Incertae_Sedis	g:Candidatus_Captivus	UNKNOWN
OTU11444	k:Bacteria	p:Cyanobacteria	c:Cyanobacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11445	k:Bacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11446	k:Bacteria	p:Actinobacteria	c:Acidimicrobiia	o:Acidimicrobiales	UNKNOWN	UNKNOWN	UNKNOWN
OTU11447	k:Bacteria	p:TM6	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11448	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:GR-WP33-30	UNKNOWN	UNKNOWN	UNKNOWN
OTU11449	k:Archaea	p:Woesearchaeota_[DHVEG-6]	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11450	k:Bacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11451	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Lachnospiraceae	UNKNOWN	UNKNOWN
OTU11452	k:Bacteria	p:Candidate_division_OP3	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11453	k:Bacteria	p:TM6	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11454	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Ruminococcaceae	UNKNOWN	UNKNOWN
OTU11455	k:Bacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11456	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:AT425-EubC11_terrestrial_group	UNKNOWN	UNKNOWN	UNKNOWN
OTU11457	k:Bacteria	p:Planctomycetes	c:Phycisphaerae	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11458	k:Bacteria	p:Bacteroidetes	c:Bacteroidia	o:Bacteroidia_Incertae_Sedis	f:Draconibacteriaceae	UNKNOWN	UNKNOWN
OTU11459	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Legionellales	f:Coxiellaceae	g:Aquicella	UNKNOWN
OTU11460	k:Bacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11461	k:Bacteria	p:Parcubacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11462	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	UNKNOWN	UNKNOWN	UNKNOWN
OTU11463	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cyclobacteriaceae	g:Aquiflexum	UNKNOWN
OTU11464	k:Bacteria	p:Armatimonadetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11465	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Legionellales	f:Coxiellaceae	UNKNOWN	UNKNOWN
OTU11466	k:Bacteria	p:Hydrogenedentes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11467	k:Bacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11468	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Lachnospiraceae	UNKNOWN	UNKNOWN
OTU11469	k:Bacteria	p:Spirochaetae	c:Spirochaetes	o:Spirochaetales	f:Spirochaetaceae	g:Treponema	UNKNOWN
OTU11470	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Bdellovibrionales	f:Bdellovibrionaceae	g:Bdellovibrio	UNKNOWN
OTU11471	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Family_XI	g:Anaerococcus	UNKNOWN
OTU11472	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Family_XII	g:Fusibacter	UNKNOWN
OTU11473	k:Bacteria	p:Bacteroidetes	c:Bacteroidia	o:Bacteroidales	f:Bacteroidales_S24-7_group	UNKNOWN	UNKNOWN
OTU11474	k:Bacteria	p:TM6	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11475	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Ruminococcaceae	UNKNOWN	UNKNOWN
OTU11476	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Lachnospiraceae	UNKNOWN	UNKNOWN
